Season	Week Start Date	Week End Date	MMWR Week	Activity type	Region Name	Activity level	Last updated
2023-2024	11/26/23	12/2/23	48	ILI	Central	Moderate	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	Inner Metro Boston	Low	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	Northeast	Moderate	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	Outer Metro Boston	Low	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	Southeast	Moderate	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	West	Low	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Boston	Moderate	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Central	Moderate	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Inner Metro Boston	Low	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Northeast	High	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Outer Metro Boston	Moderate	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	Southeast	High	3/7/24
2023-2024	12/3/23	12/9/23	49	ILI	West	Moderate	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Boston	Moderate	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Central	High	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Northeast	High	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Outer Metro Boston	High	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	Southeast	High	3/7/24
2023-2024	12/10/23	12/16/23	50	ILI	West	High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Boston	High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Central	High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Inner Metro Boston	High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Northeast	Very High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Outer Metro Boston	High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	Southeast	Very High	3/7/24
2023-2024	12/17/23	12/23/23	51	ILI	West	High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	Boston	High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	Central	Very High	3/7/24
