Week Start Date	Week End Date	Confirmed deaths	Probable deaths	Confirmed and probable deaths	Confirmed cases	Probable cases	Confirmed and probable cases	Last updated
5/3/20	5/9/20	893	49	942	9821	45	9866	3/7/24
5/7/23	5/13/23	9	2	11	823	200	1023	3/7/24
5/16/21	5/22/21	51	1	52	2497	342	2839	3/7/24
3/7/21	3/13/21	90	8	98	9704	1290	10994	3/7/24
1/2/22	1/8/22	313	47	360	162718	15824	178542	3/7/24
6/11/23	6/17/23	7	1	8	765	247	1012	3/7/24
9/19/21	9/25/21	89	4	93	10740	732	11472	3/7/24
11/7/21	11/13/21	82	3	85	12687	1284	13971	3/7/24
9/25/22	10/1/22	69	18	87	8682	1331	10013	3/7/24
5/21/23	5/27/23	10	1	11	804	214	1018	3/7/24
6/21/20	6/27/20	98	4	102	1231	42	1273	3/7/24
1/28/24	2/3/24	40	1	41	2857	792	3649	3/7/24
2/2/20	2/8/20	0	0	0	1	0	1	3/7/24
7/11/21	7/17/21	20	1	21	1849	239	2088	3/7/24
3/12/23	3/18/23	51	8	59	2047	525	2572	3/7/24
12/4/22	12/10/22	72	24	96	8213	1600	9813	3/7/24
6/4/23	6/10/23	6	1	7	745	216	961	3/7/24
1/1/23	1/7/23	128	37	165	9234	2043	11277	3/7/24
1/3/21	1/9/21	416	17	433	42400	2759	45159	3/7/24
9/12/21	9/18/21	81	5	86	11608	836	12444	3/7/24
10/1/23	10/7/23	31	3	34	2637	901	3538	3/7/24
2/14/21	2/20/21	187	14	201	10348	1059	11407	3/7/24
10/30/22	11/5/22	82	21	103	5454	1046	6500	3/7/24
11/15/20	11/21/20	119	6	125	18264	837	19101	3/7/24
12/13/20	12/19/20	313	8	321	30936	1448	32384	3/7/24
12/27/20	1/2/21	405	27	432	34029	2517	36546	3/7/24
2/19/23	2/25/23	84	23	107	3093	746	3839	3/7/24
10/23/22	10/29/22	77	34	111	5786	1009	6795	3/7/24
12/26/21	1/1/22	269	17	286	105184	7143	112327	3/7/24
7/25/21	7/31/21	16	1	17	5048	467	5515	3/7/24
9/26/21	10/2/21	107	2	109	9478	687	10165	3/7/24
4/12/20	4/18/20	1091	59	1150	15230	60	15290	3/7/24
4/19/20	4/25/20	1210	60	1270	14824	56	14880	3/7/24
8/15/21	8/21/21	40	1	41	9208	743	9951	3/7/24
11/13/22	11/19/22	64	20	84	4326	908	5234	3/7/24
6/26/22	7/2/22	55	16	71	9859	1110	10969	3/7/24
12/19/21	12/25/21	190	14	204	47049	4147	51196	3/7/24
1/31/21	2/6/21	304	19	323	16467	1408	17875	3/7/24
5/23/21	5/29/21	34	0	34	1383	185	1568	3/7/24
12/3/23	12/9/23	32	5	37	3369	1167	4536	3/7/24
12/31/23	1/6/24	36	4	40	5288	1579	6867	3/7/24
3/14/21	3/20/21	90	6	96	11378	1321	12699	3/7/24
10/10/21	10/16/21	72	3	75	8960	790	9750	3/7/24
11/19/23	11/25/23	23	3	26	2066	893	2959	3/7/24
5/15/22	5/21/22	82	25	107	23751	3679	27430	3/7/24
10/29/23	11/4/23	23	6	29	1532	590	2122	3/7/24
8/23/20	8/29/20	28	2	30	2114	125	2239	3/7/24
9/4/22	9/10/22	62	16	78	7211	997	8208	3/7/24
8/1/21	8/7/21	22	2	24	6999	580	7579	3/7/24
5/17/20	5/23/20	535	22	557	5948	84	6032	3/7/24
6/28/20	7/4/20	75	3	78	1091	59	1150	3/7/24
7/26/20	8/1/20	30	2	32	1896	131	2027	3/7/24
9/24/23	9/30/23	24	8	32	2645	1056	3701	3/7/24
1/24/21	1/30/21	391	13	404	20121	1569	21690	3/7/24
5/22/22	5/28/22	70	17	87	17984	2783	20767	3/7/24
9/11/22	9/17/22	53	12	65	8915	1210	10125	3/7/24
5/29/22	6/4/22	61	13	74	13539	1992	15531	3/7/24
9/5/21	9/11/21	78	4	82	11792	850	12642	3/7/24
9/10/23	9/16/23	26	3	29	2686	1042	3728	3/7/24
11/8/20	11/14/20	97	5	102	16744	845	17589	3/7/24
7/2/23	7/8/23	7	1	8	607	239	846	3/7/24
12/5/21	12/11/21	150	10	160	30733	2825	33558	3/7/24
