Season	Week Start Date	Week End Date	City/Town	County	Population	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Cumulative confirmed cases	Weekly testing rate	Cases during this week	Weekly case rate	Last updated
2023-2024	7/2/23	7/8/23	Walpole	Norfolk	26383.00012207	39	39	4	0.10256410256410256	1-4	147.8224607495475	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Waltham	Middlesex	65217.99978638	101	101	8	0.079207920792079209	6	154.86522176519225	6	9.1999141642688453	3/7/24
2023-2024	7/2/23	7/8/23	Ware	Hampshire	10065.99990082	41	41	0	0	0	407.31174651273386	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Wareham	Plymouth	23302.99987793	45	45	3	0.066666666666666666	1-4	193.10818450726154	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Warren	Worcester	4975.00001907	9	9	0	0	0	180.90452191962828	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Warwick	Franklin	779.99999905	2	2	0	0	0	256.41025672255097	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Washington	Berkshire	494.00000238	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Watertown	Middlesex	35329.00003052	78	78	6	0.076923076923076927	6	220.78179380287409	6	16.983214907913393	3/7/24
2023-2024	7/2/23	7/8/23	Wayland	Middlesex	13943.00003052	16	16	3	0.1875	1-4	114.75292236231378	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Webster	Worcester	17775.99998474	31	31	2	0.064516129032258063	1-4	174.39243939363348	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Wellesley	Norfolk	29549.99996948	23	23	1	0.043478260869565216	1-4	77.834179437411137	1-4	*	3/7/24
