Season	Week Start Date	Week End Date	County	Population	Cases during this week	Cumulative confirmed cases	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Weekly case rate	Weekly testing rate	Last updated
2023-2024	11/12/23	11/18/23	Suffolk	797935.9991	180	3883	47725	3265	218	0.066768759571209799	22.558200181847141	409.1806866318384	3/7/24
2023-2024	11/12/23	11/18/23	Unknown		5	140	4044	240	5	*	*	*	3/7/24
2023-2024	11/12/23	11/18/23	Worcester	862111.0013	181	3883	50363	3557	205	0.05763283666010683	20.994976253297466	412.59188139767446	3/7/24
2023-2024	11/19/23	11/25/23	Barnstable	228995.9998	105	2265	27924	1512	131	0.086640211640211642	45.852329338374759	660.27354247259655	3/7/24
2023-2024	11/19/23	11/25/23	Berkshire	129026	58	1111	18140	693	62	0.089466089466089471	44.952180180738765	537.10104940089593	3/7/24
2023-2024	11/19/23	11/25/23	Bristol	579200	168	2554	24772	1575	173	0.10984126984126984	29.005524861878452	271.92679558011048	3/7/24
2023-2024	11/19/23	11/25/23	Dukes and Nantucket	34855	4	212	3145	206	4	0.019417475728155338	11.476115334959117	591.01993975039454	3/7/24
2023-2024	11/19/23	11/25/23	Essex	809829.0011	249	4551	56933	3459	282	0.081526452732003471	30.747231781250171	427.12720775640304	3/7/24
2023-2024	11/19/23	11/25/23	Franklin	71028.9999	17	393	6261	293	18	0.061433447098976107	23.933886192870357	412.50756791241264	3/7/24
2023-2024	11/19/23	11/25/23	Hampden	465824.9991	226	3323	52392	2752	236	0.085755813953488372	48.516073726537783	590.77980042226545	3/7/24
2023-2024	11/19/23	11/25/23	Hampshire	162308.0003	43	808	11346	572	43	0.075174825174825169	26.492840722898116	352.41639287204003	3/7/24
2023-2024	11/19/23	11/25/23	Middlesex	1632001.997	443	8880	97276	5516	486	0.088107324147933291	27.144574627625286	337.98978249657131	3/7/24
2023-2024	11/19/23	11/25/23	Norfolk	725980.9995	188	3469	37987	2215	212	0.095711060948081267	25.895994541107822	305.1044037689033	3/7/24
2023-2024	11/19/23	11/25/23	Plymouth	530818.9998	170	2949	30305	1957	188	0.096065406234031675	32.02598250327361	368.67557505239097	3/7/24
2023-2024	11/19/23	11/25/23	Statewide (all of MA)	7029916.997	2066	38816	474785	26922	2282	0.08476339053562143	29.388682695423864	382.96326985779342	3/7/24
2023-2024	11/19/23	11/25/23	Suffolk	797935.9991	169	4052	50480	2755	201	0.072958257713248639	21.179643504067592	345.26578611660483	3/7/24
2023-2024	11/19/23	11/25/23	Unknown		4	144	4268	224	4	*	*	*	3/7/24
2023-2024	11/19/23	11/25/23	Worcester	862111.0013	222	4105	53556	3193	242	0.075790792358283746	25.750744354873135	370.36994020319781	3/7/24
2023-2024	11/26/23	12/2/23	Barnstable	228995.9998	126	2391	29728	1804	158	0.087583148558758317	55.022795206049707	787.78668691836253	3/7/24
2023-2024	11/26/23	12/2/23	Berkshire	129026	91	1202	19060	920	95	0.10326086956521739	70.528420628400482	713.03458217723551	3/7/24
2023-2024	11/26/23	12/2/23	Bristol	579200	245	2799	26853	2081	262	0.12590100913022587	42.299723756906076	359.28867403314916	3/7/24
2023-2024	11/26/23	12/2/23	Dukes and Nantucket	34855	13	225	3402	257	15	0.058365758754863814	37.297374838617131	737.34041027112323	3/7/24
2023-2024	11/26/23	12/2/23	Essex	809829.0011	338	4889	61256	4323	364	0.084200786490862822	41.737206193022324	533.81639755158437	3/7/24
2023-2024	11/26/23	12/2/23	Franklin	71028.9999	24	417	6597	336	24	0.071428571428571425	33.789015801699328	473.04622122379067	3/7/24
2023-2024	11/26/23	12/2/23	Hampden	465824.9991	331	3654	56087	3695	349	0.094451962110960755	71.056727449044274	793.21633813963342	3/7/24
2023-2024	11/26/23	12/2/23	Hampshire	162308.0003	59	867	12055	709	61	0.086036671368124124	36.350641922116019	436.82381564034335	3/7/24
2023-2024	11/26/23	12/2/23	Middlesex	1632001.997	683	9563	104367	7091	732	0.10322944577633621	41.85043898570671	434.49701734648062	3/7/24
2023-2024	11/26/23	12/2/23	Norfolk	725980.9995	251	3720	40892	2905	284	0.09776247848537005	34.573907605415229	400.14821352084152	3/7/24
2023-2024	11/26/23	12/2/23	Plymouth	530818.9998	258	3207	32877	2572	281	0.10925349922239502	48.604138152027019	484.53427646129256	3/7/24
2023-2024	11/26/23	12/2/23	Statewide (all of MA)	7029916.997	3066	41882	509690	34905	3351	0.096003437902879241	43.613601715474132	496.52079839485475	3/7/24
2023-2024	11/26/23	12/2/23	Suffolk	797935.9991	306	4358	54132	3652	360	0.098576122672508218	38.34894030914014	457.68081702280972	3/7/24
2023-2024	11/26/23	12/2/23	Unknown		14	158	4581	313	14	*	*	*	3/7/24
2023-2024	11/26/23	12/2/23	Worcester	862111.0013	327	4432	57803	4247	352	0.082882034377207439	37.930150468664479	492.62797871687479	3/7/24
2023-2024	12/3/23	12/9/23	Barnstable	228995.9998	154	2545	31617	1889	182	0.09634727368978295	67.250083029616306	824.90523923990406	3/7/24
2023-2024	12/3/23	12/9/23	Berkshire	129026	92	1294	19957	897	97	0.10813823857302118	71.303458217723559	695.20871762280467	3/7/24
2023-2024	12/3/23	12/9/23	Bristol	579200	242	3041	28981	2128	250	0.1174812030075188	41.781767955801108	367.40331491712703	3/7/24
2023-2024	12/3/23	12/9/23	Dukes and Nantucket	34855	7	232	3604	202	13	0.064356435643564358	20.083201836178453	579.54382441543544	3/7/24
2023-2024	12/3/23	12/9/23	Essex	809829.0011	395	5284	65596	4340	425	0.097926267281105997	48.775729130898867	535.91560614709135	3/7/24
2023-2024	12/3/23	12/9/23	Franklin	71028.9999	25	442	6936	339	25	0.073746312684365781	35.196891460103473	477.26984819900298	3/7/24
