"sample_id","collection_date","bcov_recovery","bcov_recovery_lci","bcov_recovery_uci","city","state","name","site_name","sewershed_pop","state_abbr","Influenza_A_gc_g_dry_weight","Influenza_A_gc_g_dry_weight_lci","Influenza_A_gc_g_dry_weight_uci","MPXV_G2R_G_gc_g_dry_weight","MPXV_G2R_G_gc_g_dry_weight_lci","MPXV_G2R_G_gc_g_dry_weight_uci","RSV_gc_g_dry_weight","RSV_gc_g_dry_weight_lci","RSV_gc_g_dry_weight_uci","N_Gene_gc_g_dry_weight","N_Gene_gc_g_dry_weight_lci","N_Gene_gc_g_dry_weight_uci","S_Gene_gc_g_dry_weight","S_Gene_gc_g_dry_weight_lci","S_Gene_gc_g_dry_weight_uci","PMMoV_gc_g_dry_weight","PMMoV_gc_g_dry_weight_lci","PMMoV_gc_g_dry_weight_uci","HMPV_4_gc_g_dry_weight","HMPV_4_gc_g_dry_weight_lci","HMPV_4_gc_g_dry_weight_uci","Influenza_B_gc_g_dry_weight","Influenza_B_gc_g_dry_weight_lci","Influenza_B_gc_g_dry_weight_uci","MPXV_G2R_WA_gc_g_dry_weight","MPXV_G2R_WA_gc_g_dry_weight_lci","MPXV_G2R_WA_gc_g_dry_weight_uci","Noro_G2_gc_g_dry_weight","Noro_G2_gc_g_dry_weight_lci","Noro_G2_gc_g_dry_weight_uci","C_auris_gc_g_dry_weight","C_auris_gc_g_dry_weight_lci","C_auris_gc_g_dry_weight_uci","EVD68_gc_g_dry_weight","EVD68_gc_g_dry_weight_lci","EVD68_gc_g_dry_weight_uci","HAV_gc_g_dry_weight","HAV_gc_g_dry_weight_lci","HAV_gc_g_dry_weight_uci","Rota_gc_g_dry_weight","Rota_gc_g_dry_weight_lci","Rota_gc_g_dry_weight_uci","HPIV_gc_g_dry_weight","HPIV_gc_g_dry_weight_lci","HPIV_gc_g_dry_weight_uci"
"146-230127","2023-01-27",0.625,0.535,0.715,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",8872.734785641025,6348.317303247863,11991.791846837606,"","","",5203.63017025641,3567.0435325811964,7278.0446085470085,408524.39422905986,324961.57915897435,468367.4086837607,308601.41850256413,236168.52069743592,361008.26425982907,252046169.70940173,230823922.43418807,273481528.77948725,14808.24071111111,12045.9491391453,17964.020753504272,0,0,0,0,0,0,28513588.408888888,25553577.392136753,32715060.76444444,"","","","","","","","","","","","","","",""
"146-230130","2023-01-30",0.972,0.746,1.186,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",11602.115337634408,9200.286574500768,14389.87017142857,"","","",6790.698032565284,5132.723878341014,8772.275780030723,391695.5528847926,351906.8189001536,428357.6179907834,328075.68432565284,304826.4932473118,348801.45612288784,187046183.4715822,152551803.92012286,219888835.39170513,8609.115438402458,6390.009059293395,10944.021461136712,0,0,0,0,0,0,13684849.332104452,12892881.145314898,14369841.169892477,"","","","","","","","","","","","","","",""
"146-230201","2023-02-01",1.302,1.167,1.447,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",2316.8270468085107,1330.4280896453902,3700.5903029787237,"","","",7101.641480851063,5097.91974468085,9357.162399999997,248357.65106382978,225178.80646808507,271592.16051063826,249520.37622695035,230909.76686524818,271371.2868085106,201483435.68794325,195130628.19858152,207842303.31914893,0,0,0,0,0,0,0,0,0,13500076.18723404,12639436.329078011,14274866.848226948,"","","","","","","","","","","","","","",""
"146-230203","2023-02-03",0.672,0.614,0.73,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",11744.2019902439,8543.238730406501,15659.592013008127,"","","",25054.706792411922,19877.547490514902,30690.007093766933,478333.7187208672,450844.8241951219,512031.61721409205,"","","",274921762.5149051,237914608.99728996,316077652.6395664,11114.795030894307,8203.527791869918,14815.815093766934,0,0,0,0,0,0,20595786.49322493,19689041.595663954,21681739.87208672,"","","","","","","","","","","","","","",""
"146-230206","2023-02-06",0.937,0.824,1.039,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",4273.321638974359,2171.0856854700855,6628.641206153845,"","","",21820.63078290598,14099.044676923077,27444.804834188028,213944.65517948716,197504.72827350427,232856.4081367521,"","","",296412306.5982906,273732216.3418804,316923744.6837607,23516.699801709397,18135.354051282047,28361.939979487175,0,0,0,0,0,0,19350650.625641022,18856695.71282051,19694208.649572648,"","","","","","","","","","","","","","",""
"146-230208","2023-02-08",0.593,0.535,0.655,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",5355.677000110191,2940.1585419283742,7954.509462038567,"","","",5413.781513168044,3480.127034710743,7958.3556857300255,300344.65110743797,283960.8100495867,316731.0982699724,"","","",554639109.0247934,509959693.22314066,597025250.7327824,18750.502056198347,14868.87025013774,23255.815845730023,0,0,0,0,0,0,41619412.33719007,39576927.83250688,43806301.65509641,"","","","","","","","","","","","","","",""
"146-230210","2023-02-10",0.51,0.416,0.599,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",3254.519691906977,1738.219482790698,4956.70562579845,"","","",8493.240860775193,5664.852425426356,10879.498120930231,321117.5253333334,303123.3440248062,337068.66123410856,"","","",250429895.68992248,186129462.67286822,311719885.54418606,6000.945736434111,4210.598893643411,8238.789462325583,0,0,0,0,0,0,15892556.928992245,14409509.75007752,17316607.617984496,"","","","","","","","","","","","","","",""
"146-230213","2023-02-13",1.078,0.974,1.182,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",5612.860491193416,2777.663277695473,8179.4924181069955,"","","",7728.427522633745,4534.995114403292,10304.975901234568,318470.45649382717,291390.5328065843,344106.0383868313,"","","",504742557.23456794,414727933.89300406,603345329.3827161,25732.680111934154,20173.235687242795,31337.948003292182,0,0,0,0,0,0,25616124.536625512,24355245.708641976,27037016.941563785,"","","","","","","","","","","","","","",""
"146-230215","2023-02-15",1.347,1.261,1.433,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",2414.2727560997732,1254.6085717913832,4133.2769284353735,"","","",5198.835515646259,3193.614704761905,7642.397264399094,314429.38913378684,298509.1090430839,330352.6101768707,"","","",367587093.40589577,356507814.7482993,378645252.063492,13890.914097052155,8095.170902494329,20854.126026303853,0,0,0,0,0,0,24367710.106122453,23522279.357823137,25364527.97097506,"","","","","","","","","","","","","","",""
"146-230217","2023-02-17",1.379,1.265,1.493,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",3141.7830514500943,622.3549390583805,5745.798854387947,"","","",7546.889129943504,4435.665414387948,10707.371203013185,313607.2248888889,299555.5180715631,327661.6902749529,"","","",290377066.24482113,282947076.21845573,297814826.4858757,30595.675251224115,25787.800720150666,35744.10849868174,0,0,0,0,0,0,22375029.42372882,21928515.99548023,22932370.748022605,"","","","","","","","","","","","","","",""
