,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
540,Newark,EWR,21:29,2023-05-22,"['UA1402', 'TP8512']","['United Airlines', 'TAP Air Portugal']",B,Landed - Delayed [+],20:07,2023-05-22,20:34,2023-05-22,21:29,2023-05-22,21:47,2023-05-22,
541,Baltimore,BWI,21:32,2023-05-22,['DL3984'],['Delta Air Lines'],A,Landed - On-time [+],19:57,2023-05-22,19:57,2023-05-22,21:32,2023-05-22,21:20,2023-05-22,
542,New York,LGA,21:34,2023-05-22,"['B61432', 'AA9538']","['JetBlue Airways', 'American Airlines']",C,Landed - On-time [+],20:15,2023-05-22,20:11,2023-05-22,21:34,2023-05-22,21:12,2023-05-22,
543,Reykjavik,KEF,21:50,2023-05-22,"['FI633', 'B65668']","['Icelandair', 'JetBlue Airways']",E,Landed - Delayed [+],20:05,2023-05-22,20:38,2023-05-22,21:50,2023-05-22,22:26,2023-05-22,Boeing 737MAX 8 Passenger
544,San Francisco,SFO,21:51,2023-05-22,"['UA2652', 'NH7330', 'NZ9013', 'VA8307']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],13:00,2023-05-22,13:45,2023-05-22,21:51,2023-05-22,22:21,2023-05-22,
545,Washington,DCA,21:53,2023-05-22,['DL5703'],['Delta Air Lines'],A,Landed - On-time [+],20:15,2023-05-22,20:10,2023-05-22,21:53,2023-05-22,21:31,2023-05-22,
546,Chicago,ORD,21:53,2023-05-22,"['UA656', 'EK6224', 'NH7794', 'NZ2089']","['United Airlines', 'Emirates', 'ANA All Nippon Airways', 'Air New Zealand']",B,Landed - On-time [+],18:29,2023-05-22,18:29,2023-05-22,21:53,2023-05-22,22:00,2023-05-22,
547,Baltimore,BWI,21:55,2023-05-22,['WN1045'],['Southwest Airlines'],B,Landed - On-time [+],20:30,2023-05-22,20:46,2023-05-22,21:55,2023-05-22,21:56,2023-05-22,
548,New York,JFK,21:56,2023-05-22,"['B6318', 'AA9284', 'EI5010', 'EY8269', 'HA2000', 'QR3819']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Etihad Airways', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],20:30,2023-05-22,20:41,2023-05-22,21:56,2023-05-22,21:53,2023-05-22,
549,Pittsburgh,PIT,22:00,2023-05-22,"['B62186', 'AA9453', 'HA2212']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:25,2023-05-22,20:59,2023-05-22,22:00,2023-05-22,22:31,2023-05-22,
550,Baltimore,BWI,22:01,2023-05-22,"['B6726', 'AA9208', 'FI7918', 'HA2394']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:35,2023-05-22,20:33,2023-05-22,22:01,2023-05-22,21:50,2023-05-22,
551,Raleigh/Durham,RDU,22:02,2023-05-22,['DL2996'],['Delta Air Lines'],A,Landed - On-time [+],19:59,2023-05-22,20:10,2023-05-22,22:02,2023-05-22,21:51,2023-05-22,
552,Austin,AUS,22:03,2023-05-22,['DL1697'],['Delta Air Lines'],A,Landed - On-time [+],17:00,2023-05-22,17:19,2023-05-22,22:03,2023-05-22,22:04,2023-05-22,
553,Kansas City,MCI,22:03,2023-05-22,"['B62364', 'AA9127', 'FI7908']","['JetBlue Airways', 'American Airlines', 'Icelandair']",C,Landed - On-time [+],18:00,2023-05-22,17:47,2023-05-22,22:03,2023-05-22,21:48,2023-05-22,
554,Washington,DCA,22:04,2023-05-22,"['B62854', 'AA9321']","['JetBlue Airways', 'American Airlines']",C,Landed - On-time [+],20:30,2023-05-22,20:21,2023-05-22,22:04,2023-05-22,21:49,2023-05-22,
555,Denver,DEN,22:04,2023-05-22,['UA1592'],['United Airlines'],B,Landed - On-time [+],16:05,2023-05-22,15:59,2023-05-22,22:04,2023-05-22,21:54,2023-05-22,
556,San Francisco,SFO,22:07,2023-05-22,"['DL475', 'KE6731']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],13:15,2023-05-22,13:10,2023-05-22,22:07,2023-05-22,22:06,2023-05-22,
557,Philadelphia,PHL,22:08,2023-05-22,['AA1874'],['American Airlines'],B,Landed - Delayed [+],20:46,2023-05-22,22:07,2023-05-22,22:08,2023-05-22,23:17,2023-05-22,
558,Aruba,AUA,22:12,2023-05-22,['B6974'],['JetBlue Airways'],C,Landed - On-time [+],17:15,2023-05-22,17:18,2023-05-22,22:12,2023-05-22,21:48,2023-05-22,
559,Milwaukee,MKE,22:13,2023-05-22,['DL3510'],['Delta Air Lines'],A,Landed - Delayed [+],18:54,2023-05-22,21:21,2023-05-22,22:13,2023-05-22,00:33,2023-05-23,
560,Saint Louis,STL,22:14,2023-05-22,['FTH998'],['Mountain Aviation'],,Landed - On-time [+],18:56,2023-05-22,19:04,2023-05-22,22:14,2023-05-22,22:07,2023-05-22,
561,Cleveland,CLE,22:15,2023-05-22,"['B6640', 'AA9245', 'HA2144']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],20:35,2023-05-22,20:34,2023-05-22,22:15,2023-05-22,22:13,2023-05-22,
