Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Memphis,MEM,06:05,2023-06-01,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-06-01,02:55,2023-06-01,06:05,2023-06-01,06:16,2023-06-01,
Indianapolis,IND,06:06,2023-06-01,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-06-01,05:23,2023-06-01,06:06,2023-06-01,07:08,2023-06-01,
Phoenix,PHX,06:07,2023-06-01,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-31,22:59,2023-06-01,06:07,2023-06-01,07:07,2023-06-02,
San Jose,SJC,06:13,2023-06-01,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-31,21:47,2023-06-01,06:13,2023-06-01,06:37,2023-06-02,
Honolulu,HNL,06:15,2023-06-01,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - Delayed [+],14:35,2023-05-31,15:10,2023-05-31,06:15,2023-06-01,06:41,2023-06-01,
Salt Lake City,SLC,06:22,2023-06-01,"['DL999', 'KE3999', 'KL5565', 'LA6293', 'VS4266']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],23:45,2023-05-31,23:40,2023-05-31,06:22,2023-06-01,06:39,2023-06-01,
Las Vegas,LAS,06:23,2023-06-01,"['B6778', 'EI5165', 'HA2178', 'TP4320']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-31,22:22,2023-06-01,06:23,2023-06-01,06:45,2023-06-02,
Seattle,SEA,06:23,2023-06-01,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-31,22:23,2023-06-01,06:23,2023-06-01,07:22,2023-06-02,
Los Angeles,LAX,06:30,2023-06-01,"['B6622', 'AA9136', 'FI7866', 'HA2184']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - Delayed [+],22:05,2023-05-31,22:05,2023-06-01,06:30,2023-06-01,06:51,2023-06-02,
Bogota,BOG,06:35,2023-06-01,['AV228'],['Avianca'],E,Landed - Delayed [+],23:10,2023-05-31,23:58,2023-05-31,06:35,2023-06-01,07:17,2023-06-01,
Buffalo,BUF,06:40,2023-06-01,"['DL1211', 'KE6735']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:08,2023-06-01,05:02,2023-06-01,06:40,2023-06-01,06:38,2023-06-01,
Rochester,ROC,06:40,2023-06-01,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:08,2023-06-01,05:01,2023-06-01,06:40,2023-06-01,06:15,2023-06-01,
Memphis,MEM,06:41,2023-06-01,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2023-06-01,03:59,2023-06-01,06:41,2023-06-01,07:24,2023-06-01,
San Francisco,SFO,06:44,2023-06-01,"['DL926', 'LA6591', 'VS2372', 'WS7424']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],21:55,2023-05-31,21:54,2023-05-31,06:44,2023-06-01,06:49,2023-06-01,
San Diego,SAN,06:45,2023-06-01,['DL316'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2023-05-31,21:59,2023-05-31,06:45,2023-06-01,06:40,2023-06-01,
Portland,PDX,06:57,2023-06-01,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:38,2023-05-31,00:42,2023-06-02,06:57,2023-06-01,09:35,2023-06-02,
New York,LGA,07:10,2023-06-01,"['DL1632', 'LA6231']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-06-01,05:54,2023-06-01,07:10,2023-06-01,07:07,2023-06-01,
Newark,EWR,07:12,2023-06-01,"['B62180', 'AA9248', 'FI7992', 'HA2084', 'JL5479', 'TP4480']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:49,2023-06-01,07:12,2023-06-01,07:02,2023-06-01,
Provincetown,PVC,07:15,2023-06-01,"['9K2001', 'B65175']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-06-01,06:45,2023-06-01,07:15,2023-06-01,07:18,2023-06-01,Cessna (Light aircraft)
Rochester,ROC,07:18,2023-06-01,"['B6712', 'TP4275']","['JetBlue Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:47,2023-06-01,07:18,2023-06-01,06:56,2023-06-01,
New York,JFK,07:20,2023-06-01,"['DL5853', 'KE3954', 'KL6729', 'LA6426', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-06-01,05:56,2023-06-01,07:20,2023-06-01,07:08,2023-06-01,
Bar Harbor,BHB,07:25,2023-06-01,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:00,2023-06-01,06:00,2023-06-01,07:25,2023-06-01,07:15,2023-06-01,Cessna (Light aircraft)
Cincinnati,CVG,07:25,2023-06-01,['M6588'],['Amerijet International'],,Landed - Delayed [+],05:25,2023-06-01,06:15,2023-06-01,07:25,2023-06-01,08:02,2023-06-01,
Philadelphia,PHL,07:25,2023-06-01,"['DL5620', 'KE3318', 'LA8633']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - Delayed [+],06:03,2023-06-01,05:57,2023-06-01,07:25,2023-06-01,07:44,2023-06-01,
Los Angeles,LAX,07:26,2023-06-01,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:51,2023-05-31,22:45,2023-05-31,07:26,2023-06-01,07:10,2023-06-01,
Sao Paulo,GRU,07:30,2023-06-01,"['LA8164', 'DL6054', 'JL5561']","['LATAM Airlines', 'Delta Air Lines', 'JAL Japan Airlines']",E,Landed - Delayed [+],22:50,2023-05-31,23:27,2023-05-31,07:30,2023-06-01,08:15,2023-06-01,Boeing 787-9
Pittsburgh,PIT,07:32,2023-06-01,"['B61486', 'AA9365', 'EI5223', 'FI7836', 'HA2468', 'TP4356']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:50,2023-06-01,07:32,2023-06-01,07:20,2023-06-01,
Nantucket,ACK,07:33,2023-06-01,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:45,2023-06-01,07:40,2023-06-01,07:33,2023-06-01,08:35,2023-06-01,Cessna (Light aircraft)
Washington,DCA,07:37,2023-06-01,"['DL5837', 'LA8480']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-06-01,05:54,2023-06-01,07:37,2023-06-01,07:36,2023-06-01,
Richmond,RIC,07:37,2023-06-01,"['B6382', 'AA9191', 'EI5239', 'FI7882', 'JL5879', 'TP4366']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:50,2023-06-01,07:37,2023-06-01,07:26,2023-06-01,
Sao Paulo,GRU,07:39,2023-06-01,['JJ8164'],['LATAM Airlines Brasil'],,Landed - Delayed [+],22:59,2023-05-31,23:27,2023-05-31,07:39,2023-06-01,08:08,2023-06-01,
New York,JFK,07:41,2023-06-01,"['B6518', 'AA9370', 'EI5008', 'HA2002', 'QR3952', 'SQ1450', 'TP4304']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:30,2023-06-01,06:20,2023-06-01,07:41,2023-06-01,07:25,2023-06-01,
Baltimore,BWI,07:45,2023-06-01,['WN1655'],['Southwest Airlines'],B,Landed - On-time [+],06:20,2023-06-01,06:15,2023-06-01,07:45,2023-06-01,07:40,2023-06-01,
Phoenix,PHX,07:45,2023-06-01,['DL667'],['Delta Air Lines'],A,Landed - On-time [+],23:39,2023-05-31,23:33,2023-05-31,07:45,2023-06-01,07:23,2023-06-01,
Pittsburgh,PIT,07:48,2023-06-01,"['DL5753', 'KE3310', 'LA6541']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-06-01,05:53,2023-06-01,07:48,2023-06-01,07:43,2023-06-01,
Detroit,DTW,07:52,2023-06-01,"['B61336', 'AA9349', 'EI5307', 'FI7844', 'HA2148', 'JL5895', 'TP4284']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:46,2023-06-01,07:52,2023-06-01,07:35,2023-06-01,
Lebanon,LEB,07:55,2023-06-01,"['9K1870', 'B65167']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:00,2023-06-01,07:05,2023-06-01,07:55,2023-06-01,08:05,2023-06-01,Tecnam P2012 Traveler
San Francisco,SFO,07:56,2023-06-01,"['B634', 'AA9324', 'FI7830', 'HA2358', 'JL5892', 'SQ1544', 'TP4394']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:08,2023-05-31,23:08,2023-06-01,07:56,2023-06-01,08:48,2023-06-02,
Washington,DCA,07:58,2023-06-01,"['B6254', 'AA9467', 'HA2146']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],06:30,2023-06-01,06:20,2023-06-01,07:58,2023-06-01,07:48,2023-06-01,
Newark,EWR,07:59,2023-06-01,['UA1367'],['United Airlines'],B,Landed - On-time [+],06:45,2023-06-01,06:47,2023-06-01,07:59,2023-06-01,07:58,2023-06-01,
San Francisco,SFO,07:59,2023-06-01,"['UA1665', 'NZ9018', 'VA8306']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],23:15,2023-05-31,23:11,2023-05-31,07:59,2023-06-01,07:55,2023-06-01,
Cleveland,CLE,08:00,2023-06-01,"['B6540', 'AA9358', 'EI5365', 'FI7822', 'HA2404', 'JL5493', 'TP4268']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:19,2023-06-01,06:17,2023-06-01,08:00,2023-06-01,07:57,2023-06-01,
Raleigh/Durham,RDU,08:00,2023-06-01,"['DL2999', 'KE3997', 'LA6276']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-06-01,05:54,2023-06-01,08:00,2023-06-01,08:03,2023-06-01,
Seattle,SEA,08:00,2023-06-01,"['DL810', 'KE3143', 'LA6540', 'VS3753']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],23:35,2023-05-31,23:30,2023-05-31,08:00,2023-06-01,08:02,2023-06-01,
Richmond,RIC,08:01,2023-06-01,"['DL5730', 'AZ3413', 'KE3998']","['Delta Air Lines', 'ITA Airways', 'Korean Air']",A,Landed - On-time [+],06:15,2023-06-01,06:11,2023-06-01,08:01,2023-06-01,07:45,2023-06-01,
Cleveland,CLE,08:05,2023-06-01,"['DL5682', 'KE3302', 'LA6131']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],06:10,2023-06-01,06:01,2023-06-01,08:05,2023-06-01,08:01,2023-06-01,
Raleigh/Durham,RDU,08:05,2023-06-01,"['B6184', 'AA9456', 'EI5231', 'HA2470', 'JL5841', 'TP4364']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],06:10,2023-06-01,06:35,2023-06-01,08:05,2023-06-01,08:34,2023-06-01,
Augusta,AUG,08:10,2023-06-01,"['9K1000', 'B65110']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:00,2023-06-01,07:00,2023-06-01,08:10,2023-06-01,08:05,2023-06-01,Tecnam P2012 Traveler
Massena,MSS,08:10,2023-06-01,['4B861'],['Boutique Air'],B,Landed - On-time [+],07:00,2023-06-01,06:58,2023-06-01,08:10,2023-06-01,08:07,2023-06-01,
Chicago,MDW,08:15,2023-06-01,['WN1881'],['Southwest Airlines'],B,Landed - On-time [+],05:05,2023-06-01,05:00,2023-06-01,08:15,2023-06-01,08:12,2023-06-01,
Newark,EWR,08:16,2023-06-01,"['DL5712', 'KE3306', 'LA6679']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],07:00,2023-06-01,06:50,2023-06-01,08:16,2023-06-01,08:22,2023-06-01,
Columbus,CMH,08:19,2023-06-01,"['DL5693', 'KE3984', 'LA6156']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],06:10,2023-06-01,06:06,2023-06-01,08:19,2023-06-01,08:08,2023-06-01,
New York,LGA,08:23,2023-06-01,['DL5590'],['Delta Air Lines'],A,Landed - Delayed [+],07:00,2023-06-01,07:23,2023-06-01,08:23,2023-06-01,08:48,2023-06-01,
Rutland,RUT,08:25,2023-06-01,"['9K52', 'B65100']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:20,2023-06-01,07:17,2023-06-01,08:25,2023-06-01,08:28,2023-06-01,Tecnam P2012 Traveler
New York,LGA,08:27,2023-06-01,"['B62832', 'AA9388']","['JetBlue Airways', 'American Airlines']",C,Landed - On-time [+],07:15,2023-06-01,07:07,2023-06-01,08:27,2023-06-01,08:21,2023-06-01,
Memphis,MEM,08:28,2023-06-01,['FX1590'],['FedEx'],,Landed - Delayed [+],05:00,2023-06-01,06:12,2023-06-01,08:28,2023-06-01,09:43,2023-06-01,
Los Angeles,LAX,08:30,2023-06-01,"['B6988', 'AA9259', 'HA2316', 'SQ1538', 'TP4412']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:59,2023-05-31,00:50,2023-06-02,08:30,2023-06-01,09:40,2023-06-02,
Atlanta,ATL,08:31,2023-06-01,"['B6996', 'AA9303', 'FI7900', 'HA2164', 'JL5491', 'TP4296']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,06:03,2023-06-01,08:31,2023-06-01,08:32,2023-06-01,
Philadelphia,PHL,08:33,2023-06-01,"['AA2764', 'JL7008']","['American Airlines', 'JAL Japan Airlines']",B,Landed - On-time [+],07:15,2023-06-01,07:12,2023-06-01,08:33,2023-06-01,08:25,2023-06-01,
Baltimore,BWI,08:35,2023-06-01,['WN1183'],['Southwest Airlines'],B,Landed - On-time [+],07:10,2023-06-01,07:10,2023-06-01,08:35,2023-06-01,08:43,2023-06-01,
Westchester County,HPN,08:36,2023-06-01,['TWY203'],['Solairus Aviation'],,Landed - Delayed [+],08:00,2023-06-01,09:01,2023-06-01,08:36,2023-06-01,09:34,2023-06-01,
Rockland,RKD,08:40,2023-06-01,"['9K1850', 'B65160']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:30,2023-06-01,07:20,2023-06-01,08:40,2023-06-01,08:25,2023-06-01,Tecnam P2012 Traveler
West Palm Beach,PBI,08:41,2023-06-01,['1I611'],['NetJets Aviation'],,Landed - Delayed [+],05:45,2023-06-01,06:15,2023-06-01,08:41,2023-06-01,09:14,2023-06-01,
Newark,EWR,08:45,2023-06-01,['MTN8310'],['Mountain Air Cargo'],,Landed - Delayed [+],07:25,2023-06-01,08:34,2023-06-01,08:45,2023-06-01,09:58,2023-06-01,
Martha's Vineyard,MVY,08:45,2023-06-01,"['9K3201', 'B65382']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],08:05,2023-06-01,07:53,2023-06-01,08:45,2023-06-01,08:38,2023-06-01,Cessna (Light aircraft)
Teterboro,TEB,08:46,2023-06-01,['EDG357'],['Jet Edge'],,Landed - Delayed [+],08:00,2023-06-01,08:15,2023-06-01,08:46,2023-06-01,09:07,2023-06-01,
Indianapolis,IND,08:51,2023-06-01,['G4586'],['Allegiant Air'],E,Landed - On-time [+],06:30,2023-06-01,06:25,2023-06-01,08:51,2023-06-01,08:27,2023-06-01,
Saranac Lake,SLK,08:51,2023-06-01,"['9K1026', 'B65114']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:25,2023-06-01,07:25,2023-06-01,08:51,2023-06-01,09:05,2023-06-01,Tecnam P2012 Traveler
Syracuse,SYR,08:52,2023-06-01,"['B6846', 'HA2190', 'TP4388']","['JetBlue Airways', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],07:45,2023-06-01,07:35,2023-06-01,08:52,2023-06-01,08:36,2023-06-01,
Washington,DCA,08:59,2023-06-01,"['B61554', 'AA9542', 'HA2410']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],07:30,2023-06-01,07:24,2023-06-01,08:59,2023-06-01,08:50,2023-06-01,
Santiago,STI,09:00,2023-06-01,['B61924'],['JetBlue Airways'],E,Landed - On-time [+],05:05,2023-06-01,05:04,2023-06-01,09:00,2023-06-01,08:48,2023-06-01,
Orlando,MCO,09:02,2023-06-01,['F91630'],['Frontier Airlines'],E,Landed - Delayed [+],06:00,2023-06-01,06:35,2023-06-01,09:02,2023-06-01,09:30,2023-06-01,
Nantucket,ACK,09:03,2023-06-01,"['9K5081', 'B65119']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],08:15,2023-06-01,08:04,2023-06-01,09:03,2023-06-01,08:49,2023-06-01,Cessna (Light aircraft)
West Palm Beach,PBI,09:03,2023-06-01,"['B6222', 'EI5191', 'FI7980', 'HA2454', 'JL5877', 'TP4488']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:54,2023-06-01,09:03,2023-06-01,08:52,2023-06-01,
Tampa,TPA,09:04,2023-06-01,"['B6392', 'EI5293', 'FI7848', 'HA2480', 'JL5885', 'TP4404']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:52,2023-06-01,09:04,2023-06-01,08:59,2023-06-01,
Charlotte,CLT,09:05,2023-06-01,['DL5654'],['Delta Air Lines'],A,Landed - On-time [+],06:45,2023-06-01,06:37,2023-06-01,09:05,2023-06-01,08:46,2023-06-01,
Detroit,DTW,09:06,2023-06-01,['DL1322'],['Delta Air Lines'],A,Landed - On-time [+],07:06,2023-06-01,07:05,2023-06-01,09:06,2023-06-01,09:05,2023-06-01,
Indianapolis,IND,09:10,2023-06-01,"['DL5813', 'KE3316']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:44,2023-06-01,06:43,2023-06-01,09:10,2023-06-01,09:09,2023-06-01,
Toronto,YYZ,09:11,2023-06-01,"['AC766', 'UA8528']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],07:40,2023-06-01,07:41,2023-06-01,09:11,2023-06-01,09:22,2023-06-01,
Fort Lauderdale,FLL,09:14,2023-06-01,"['B670', 'AD7410', 'EI5143', 'FI7932', 'HA2168', 'JL5863', 'TP4288']","['JetBlue Airways', 'Azul', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-01,05:55,2023-06-01,09:14,2023-06-01,08:57,2023-06-01,
San Juan,SJU,09:20,2023-06-01,"['B6562', 'EI5287', 'FI7988', 'HA2290', 'JL5481', 'TP4396']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],05:01,2023-06-01,05:01,2023-06-01,09:20,2023-06-01,09:03,2023-06-01,
Newark,EWR,09:28,2023-06-01,"['UA606', 'AD7044']","['United Airlines', 'Azul']",B,Landed - On-time [+],07:59,2023-06-01,07:58,2023-06-01,09:28,2023-06-01,09:21,2023-06-01,
New York,LGA,09:28,2023-06-01,['DL5832'],['Delta Air Lines'],A,Landed - On-time [+],08:00,2023-06-01,07:51,2023-06-01,09:28,2023-06-01,09:04,2023-06-01,
Chicago,ORD,09:28,2023-06-01,"['DL3539', 'KE3498']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:00,2023-06-01,05:58,2023-06-01,09:28,2023-06-01,09:28,2023-06-01,
New York,LGA,09:30,2023-06-01,"['B6332', 'AA9279', 'HA2186']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],08:15,2023-06-01,08:07,2023-06-01,09:30,2023-06-01,09:13,2023-06-01,
