Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Bedford/Hanscom,BED,09:45,2023-06-04,['SY8765'],['Sun Country Airlines'],,Landed - On-time [+],09:25,2023-06-04,09:32,2023-06-04,09:45,2023-06-04,09:50,2023-06-04,
Washington,DCA,09:46,2023-06-04,"['AA4366', 'B64522']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],08:10,2023-06-04,08:19,2023-06-04,09:46,2023-06-04,09:54,2023-06-04,
Buffalo,BUF,09:49,2023-06-04,"['B6716', 'AA9439', 'EI5097', 'FI7916', 'HA2364', 'JL5855', 'TP4261']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],08:30,2023-06-04,08:42,2023-06-04,09:49,2023-06-04,10:03,2023-06-04,
Rochester,ROC,09:49,2023-06-04,"['AA6042', 'JL7617']","['American Airlines', 'JAL Japan Airlines']",B,Landed - On-time [+],08:30,2023-06-04,08:17,2023-06-04,09:49,2023-06-04,09:43,2023-06-04,
Charlotte,CLT,09:52,2023-06-04,"['AA1453', 'JL7607']","['American Airlines', 'JAL Japan Airlines']",B,Landed - On-time [+],07:40,2023-06-04,07:39,2023-06-04,09:52,2023-06-04,09:53,2023-06-04,
Lebanon,LEB,09:55,2023-06-04,"['9K1874', 'B65399']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],09:00,2023-06-04,08:50,2023-06-04,09:55,2023-06-04,09:50,2023-06-04,Tecnam P2012 Traveler
Provincetown,PVC,10:00,2023-06-04,"['9K2021', 'B65150']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],09:30,2023-06-04,09:21,2023-06-04,10:00,2023-06-04,10:02,2023-06-04,Cessna (Light aircraft)
New York,JFK,10:01,2023-06-04,"['DL5723', 'AZ3342', 'KE3949', 'LA6383', 'VS4657']","['Delta Air Lines', 'ITA Airways', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],08:30,2023-06-04,08:28,2023-06-04,10:01,2023-06-04,09:42,2023-06-04,
Martha's Vineyard,MVY,10:01,2023-06-04,['CNS19'],['PlaneSense'],,Landed - On-time [+],09:30,2023-06-04,09:22,2023-06-04,10:01,2023-06-04,09:48,2023-06-04,
London,LHR,10:03,2023-06-04,"['AA109', 'AY4186', 'B64469', 'BA1545', 'GF4154', 'IB4261', 'LY8018', 'QR2218']","['American Airlines', 'Finnair', 'JetBlue Airways', 'British Airways', 'Gulf Air', 'Iberia', 'El Al Israel Airlines', 'Qatar Airways']",E,Landed - On-time [+],07:45,2023-06-04,07:37,2023-06-04,10:03,2023-06-04,09:16,2023-06-04,
