location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.92812213455233	1.969173461828357e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.094159008370516	6.135933626352177e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6167759590338264	2.688437032060932e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.7723189794608003	8.465526852157863e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.6885114063323567	1.2458398712465252e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.9223559018815808	1.980560971893397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.7413921861287285	8.731428985324532e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.1306780192431458	1.6081075351290976e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7483712178404553	2.356941420241973e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.7190256174248295	8.92892145550273e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.991660562285985	6.798219137788474e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.8300141130476307	2.172159629011827e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.7466526500165087	3.1952605528104083e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.038317086399292	6.488323425475158e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.0491707366883456	1.7446698019397216e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.891191385955541	7.516719871668165e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.5144109060645077	1.0956252534559285e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.0467213059936875	1.748948486989244e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6327784891555496	2.645757648694098e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.244478872439032	5.279558049213196e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.7947914419926725	8.277407304463176e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.7789598672848514	8.409494500893756e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.0049624249120708	6.708388945757867e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
